,Announcement_Date,PURPOSE,REMARKS
273,30-03-2018,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
274,29-03-2018,Others,'TCS Recognized as a Leader and Star Performer in Mortgage BPO Services ...
275,26-03-2018,Others,Tata Consultancy Services Scotland launches local initiative to bridge t...
276,20-03-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI (...
277,15-03-2018,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
278,14-03-2018,Others,TCS Named as Best Company for Diversity and Inclusion
279,07-03-2018,Others,TCS ranked as the fastest growing IT services brand in 2018
280,06-03-2018,Others,Virgin Atlantic Airlines extends strategic partnership with TCS
281,05-03-2018,Others,TCS retains #1 position in Europe for customer satisfaction for the fift...
282,28-02-2018,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
283,23-02-2018,Others,TCS recognized as a Top Employer in Latin America for fourth year running
284,16-02-2018,Others,TCS recognized as a global Top Employer for the third consecutive year
285,15-02-2018,Others,TCS Recognized as a Thought Leader in Digital
286,06-02-2018,Others,TCS Recognized as a Leader in SAP HANA & S/4HANA Services by NelsonHall
287,31-01-2018,Others,The  Exchange had sought clarification from Tata Consultancy  Services  ...
288,30-01-2018,Others,The  Exchange has sought clarification from Tata Consultancy  Services  ...
289,24-01-2018,Others,Mesosphere  Partners with TCS to Enhance Data Services  and  Infrastruct...
290,23-01-2018,Others,TCS  Celebrates Five Years of Being Named a Leader in Capital  Markets  ...
291,22-01-2018,Others,TCS Recognized as Overall Leader in Life & Pensions Insurance BPO  Servi...
292,17-01-2018,Others,'TCS  Expands Partnership with Shure Inc. to Establish  Global  Developm...
293,16-01-2018,Others,TCS  Launches HOBS - A Next-Gen Digital Subscription Platform on  Micros...
294,15-01-2018,Others,TCS  Selected as Principal Technology Partner by Marks & Spencer  in  Th...
295,12-01-2018,Others,'Modell's  Sporting  Goods  Adopts Tata  Consultancy  Services'  OmniSto...
296,11-01-2018,Others,We would like to inform you that the Third Interim Dividend will be paid...
297,29-12-2017,Others,Tata Consultancy Services Ltd has informed BSE that a meeting of the  Bo...
298,21-12-2017,Others,TCS  Recognized  as a Leader in Gartner's Magic  Quadrant  for  Applicat...
299,12-12-2017,Others,TCS wins two awards in the Forbes 2017 Global 2000 list
300,07-12-2017,Others,TCS  Recognized  as a Leader and Star Performer in Finance  and  Account...
301,06-12-2017,Others,Panasonic   Corporation   Successfully  Transforms  Its   Global   Indir...
302,05-12-2017,Others,"TCS  & Cornell Tech Inaugurate the Tata Innovation Center,  Partnership ..."
303,01-12-2017,Others,TCS New York City Marathon App Wins Gold in Best in Biz Awards 2017
304,30-11-2017,Others,Global  Reporting Initiative (GRI) Appoints TCS Asia Pacific  Executive ...
305,27-11-2017,Others,'Singapore  Management University and Tata Consultancy Services renew  S...
306,23-11-2017,Others,Pursuant  to  Regulation 30 read with Schedule III Part A Para  A  of  S...
307,20-11-2017,Others,Fairfax and Tata Consultancy Services Partner on Three Major Running Eve...
308,17-11-2017,Others,TCS Collaborates with Zebra Technologies on New Global Development Center
309,16-11-2017,Others,Tata  Consultancy  Services Named Winner of CA  Technologies  2017  Part...
310,15-11-2017,Others,Transfer  of  Equity  shares  of the  Company  to  Investor  Education  ...
311,14-11-2017,Others,TCS  awarded  2017 'implementation partner' of the year by  Dell  Boomi ...
312,13-11-2017,Others,Tata  Consultancy  Services Deploys Unemployment Insurance  System  on  ...
313,10-11-2017,Others,TCS  Recognized as a Leader in Worldwide Cloud ERP Implementation  Servi...
314,09-11-2017,Others,TCS Recognized as Top 2017 Recruiter in Canada
315,02-11-2017,Others,TCS Wins Cloudera's Global Partner of the Year Award
316,31-10-2017,Others,TCS  Recognized  as  a Leader and Star Performer  in  Digital  Services ...
317,30-10-2017,Others,Malaysia Airlines Reaches the Cloud with Tata Consultancy Services
318,27-10-2017,Others,'TCS  and ACORD Collaborate on Digital Transformation Enhancements for  ...
319,24-10-2017,Others,TCS  Offers Public Cloud Security Services in Collaboration with Palo  A...
320,23-10-2017,Others,Tata  Consultancy Services Recognized as a Leader in Life  Sciences  Soc...
