,Announcement_Date,PURPOSE,REMARKS
310,19-04-2017,Others,Please  find  enclosed a copy of the Dividend Distribution  Policy  of  ...
311,18-04-2017,Others,This is with reference to our letter no. TCS/BM/1/SE/201718dated April 7...
312,12-04-2017,Others,"Dear  Sirs, Notice is hereby given that a meeting of Board of Directors ..."
313,10-04-2017,Others,In  terms  of Regulation 30 of the Securities and Exchange Board  of  In...
314,02-03-2017,Others,Update on proposal for buyback of Equity Shares of the Company
315,21-02-2017,Others,Tata Consultancy Services Ltd has informed BSE that pursuant to Section ...
316,20-02-2017,Others,Tata Consultancy Services Ltd has informed BSE that the Board of  Direct...
317,16-02-2017,Others,Tata Consultancy Services Ltd has informed BSE that the Board of  Direct...
318,06-02-2017,Others,Tata  Consultancy Services Ltd has informed BSE regarding a  Press  Rele...
319,27-01-2017,Others,"Technology to Enhance Urban Transportation in Belfort, FranceTata  Consu..."
