,Announcement_Date,PURPOSE,REMARKS
277,02-01-2017,Others,Infosys  Ltd  has submitted to BSE a copy of Disclosure  document  to  t...
278,12-12-2016,Others,"Anupu, an Archeological Wonder in Andhra PradeshInfosys  Ltd has informe..."
279,23-11-2016,Others,The  Exchange  has received the disclosure under Regulation 29(2)  of  S...
280,17-11-2016,Others,Infosys Ltd has informed BSE regarding Newspaper advertisement for trans...
281,09-11-2016,Others,Infosys  Ltd  has submitted to BSE a copy of Revised  Press  Release  da...
282,17-08-2016,Others,Infosys  Ltd has informed BSE regarding a Media Statement dated August  ...
283,18-04-2016,Others,Infosys  Ltd  has informed BSE regarding Quarterly  Statement  on  Inves...
284,08-04-2016,Others,Aberdeen Asset Management Asia Ltd has submitted the disclosures under R...
285,05-04-2016,Others,"Infosys Ltd has informed BSE regarding a Press Release dated April 05, 2..."
286,04-04-2016,Others,Infosys  Ltd  has informed BSE regarding the details of Voting  results ...
287,29-03-2016,Others,Infosys  Ltd has informed BSE that a meeting of the Board of  Directors ...
288,22-03-2016,Others,"Infosys Ltd vide its letter dated March 21, 2016 has informed BSE regard..."
289,15-03-2016,Others,Infosys  Ltd  has informed BSE that the Company will  close  the  quarte...
290,10-03-2016,Others,Shruti  Shibulal  has submitted the disclosures under Reg.  29(2)  of  S...
291,08-03-2016,Others,"With reference to the earlier letter dated February 24, 2016 with regard..."
292,25-02-2016,Others,Infosys Ltd has informed BSE about Notice of Postal Ballot.
293,24-02-2016,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
294,28-01-2016,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
295,27-01-2016,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
296,20-01-2016,Others,Infosys  Ltd  has informed BSE regarding Quarterly  Statement  on  Inves...
297,14-01-2016,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
298,06-01-2016,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
